ID,Title,Institution,Members,Location,Coordinates,Issue Primary,Issue Secondary,Approach Primary,Approach Secondary,Youth Focused?,Quote
2295,"Echoes of Peace: Reconciliation of the Youth, for the Youth, by the Youth",Macalester College,Kampe Ishimwe Rushoka,Kigali,"-1.949950,30.058850",Youth development,Social Cohesion,Educational Enrichment,,Yes,"Echoes of a Peace was a 10-day class offered at the Idebate summer camp where students from all over
the country learned about Rwanda's Peace and Reconciliation Journey since the 1994 Genocide against
the Tutsi. As the youth were born post-genocide, there is a growing issue of misinformation, lack of
awareness, genocide denial, and revisionism. Hence, through academic books, guest speakers, field
trips, and their ""Peace Projects,” students learned in-depth about Rwanda's peace process.  After this project, I am reminded of my belief that peace is a societal decision to heal and rebuild, one that
must be intergenerational and include post-conflict generations to ensure that violence does not resurface
and that stability is sustainable. Overall, this project has made me deeply value the perspectives and knowledge production of youth. I was genuinely impressed by their peace projects and the level of detail, thoughtfulness, and creativity they demonstrated. When developing policy solutions, we rarely consult or refer to youth, yet some of
their project ideas demonstrated such remarkable critical thinking and creativity that they merit serious
consideration.

I have always wanted to return to my country and empower youth at home. When I observed the rise of
online ethnic tensions linked to the conflict in Congo, I recognized the urgent need to raise awareness
about Rwanda’s peace and reconciliation journey. This project was particularly valuable because it
reminded youth that peace is not a static achievement but an intergenerational effort. I am convinced that
this project represents a meaningful step toward creating a lasting echo of peace in Rwanda, one that will
continue to resonate for generations to come."
2299,EcoEcho: Improving Equitable Outdoor Access for Vulnerable Children and People With Disabilities,Middlebury College,Yijie Li,Jiangsu,"32.061670,118.777780",Youth development,Social Cohesion,Educational Enrichment,Equipment & Materials,Yes,"This project has revealed a lot of realistic aspects of nonprofit work that I have never encountered
previously. First, flexibility is essential. Plans rarely unfold exactly as intended, and that’s okay. As
long as the goal is ultimately achieved, there can be many paths and timelines to reach it. Another
reality is that not everyone will share the same sense of urgency or empathy for the issues you care
about.Hoping that EcoEcho’s workshops and environmental education curricula would foster new
relationships between vulnerable children and nature, I have witnessed both inspiring connections
and significant implementation challenges. These experiences have shown me that with sufficient
guidance and thoughtful facilitation, children and families can develop greater interest in the outdoors
and experience its physical and mental health benefits. Most importantly, this journey continues to
motivate me to seek realistic and impactful solutions that support the marginalized communities I care
deeply about."
2270,Educational Workshops on Animal Welfare and Environmentalism,International House,Srikanth Chandar,India,"20.000000,77.000000",Health & Wellbeing,,Educational Enrichment,,Yes,"Humanity is at war with the planet. Metropolitan cities are rapidly developing
without proper environmental precautions and awareness among citizens. Deforestation, rapid
urbanization, and moral disregard for other species are prevailing local issues to name a few.The most complete definition of Peace is one that includes harmony between Humanity, Nature, and
other Species. If speciesism (the assumption of human superiority) is eliminated, it sets the ideal
foundation for peaceful coexistence with nature. Urban development and conservation can coexist, with
appropriate education and awareness among the youth! [We] conducted Educational Workshops focusing on Animal Welfare in 7 high schools in Bangalore, India. The workshops included interactive presentations, plant-based snacks, and field trips to animal shelters.  The short-term goals are such students may become more integral parts of their local community, engaging in volunteering/community-uplifting activities. The
longer-term goal is that such individuals go on to further bring a positive impact on their local
communities’ environmental, conservation, and animal welfare problems. The short-term goals are
already visible, with students reaching out to us for internship opportunities, connecting with shelters for
volunteering, teachers inviting us to continue this partnership yearly, etc!"
2245,Empower Them,Cornell University,Jean D’Amour Maniragaba,Bugesera District,"-2.204190,30.144940",Economic Development & Entrepreneurship,,Skills Development,Coalition & Community Building,No,"Our project addressed domestic violence in Gateko village by empowering 30 women survivors with
female pigs and a week-long training in conflict resolution andentrepreneurship.Too me, peace means safety, dignity, and choice, especially for women who have been denied these basics through abuse or poverty. Our project helped restore peace by addressing the economic and emotional vulnerabilities that make women susceptible to domestic violence. Providing pigs, yes, but more importantly, providing voice, skills, and solidarity. That is the peace we built together in Gateko. The most difficult moment came during the selection of participants. Some community members who were not chosen felt left out, causing tension that could have jeopardized trust in the project. We quickly responded by openly sharing our selection criteria and emphasizing that every family would eventually benefit through the piglet-sharing model. I learned that transparency and humility are essential when working with vulnerable populations. Conflict can be resolved not just through theory, but through action, empathy, and inclusion.
Before this project, I thought of peace as a lofty concept tied to big political change. But I now understand peace as something personal and local. A woman with a pig, new skills, and a supportive group can shift the trajectory of her family. That ripple effect is real. This project affirmed to me that peace is rooted in justice, opportunity, and the empowerment of women."
,,University of Rwanda,Arnauld Gabiro,,,,,,,,
,,Canakkale Onsekiz University,Emilienne Mureramanzi,,,,,,,,
,,African Leadership University,Thierry Maniragaba,,,,,,,,
2334,Empowered to Thrive: A Socio-Economic Reintegration Project for Displaced Women,University of Oklahoma,Abba Diallo,Nothern Burkina Faso,"13.000000,-2.000000",Economic Development & Entrepreneurship,,Equipment & Materials,Coalition Building,,"I chose to focus on displaced women and girls in Ouahigouya because displacement in northern
Burkina Faso has uprooted families and stripped women of stability, dignity, and opportunities for
self-sufficiency. Having grown up seeing the resilience of women in my community, I wanted to
design a project that would meet both their economic and emotional needs. Empowered to Thrive
combined skills training in gardening, goat-rearing, and weaving with psychosocial support. This
approach enabled women to rebuild their livelihoods while also finding space to process the
trauma of displacement. For displaced women in Burkina Faso, peace is not abstract. It means being able to feed their
families, to have their voices heard, and to remain rooted in community despite the fractures
caused by violence. A goat, a garden, or a weaving circle is more than just a source of livelihood; it
is a way to reclaim dignity, visibility, and belonging.  This project was not only a local initiative but a gesture of love, memory, and engagement for the
Africa we want; an Africa where women are not only helped, but also listened to and placed in the
spotlight as leaders of their own futures. Through Empowered to Thrive, I learned that peace is
built in small, practical acts that restore dignity: a goat, a garden, or a weaving circle can open
doors for women to reclaim their voices and their place in the community. Our idea of development
does not have to look western, we go a long way acknowledging what we actually need at the
moment."
2293,Empowering Education and Community Resilience in the Chittagong Hill Tracts,Luther College,Resana Zayan,Khagrachari,"23.107870,91.970070","Education Quality, Equity & Access",,Infrastructure,,,"I see peace as the freedom to exist as who you are in any condition, with security, dignity, the ability to choose, and the opportunity for people to coexist respectfully. For the Indigenous children, peace is the ability to live without displacement and marginalization. This project contributes to peace by creating the access and opportunity an individual needs to find peace. It created a safe and supportive environment where Indigenous children can access education, a fundamental tool for empowerment and self-determination.  This project restored access to education for Indigenous children in the flood-affected Chengi Ideal School in the Chittagong Hill Tracts (CHT) in Khagrachari, Bangladesh, by rebuilding student dormitories, introducing eco-friendly transportation and supplying school materials for 147 students and 17 teachers. The project was implemented collaboratively with local leaders, school officials, and Indigenous diaspora community.  Home to over 54 Indigenous groups totaling approximately 1.65 million people, the CHT remains one of the most marginalized regions of Bangladesh, a situation worsened by 1980s settlement policies that displaced Indigenous communities from their land. The region also faces heightened vulnerability to climate change, where frequent flash floods and extreme weather further threaten already fragile infrastructure. The project addressed the urgent need to restore education for Indigenous children in the CHT, where systemic exclusion and climate-related vulnerabilities limit access to schooling. The short-term approaches included rebuilding infrastructure and providing essential educational resources to ensure continuity of learning, while the long-term approach focused on sustaining transportation and dormitory facilities to enable students from remote areas to attend school.
"
2226,Empowering Egyptian Women Through Community Automobile Education and Ride-sharing,Brandeis University,Allan Feldman,Cairo,"30.062630,31.249670",Social Cohesion,,Educational Enrichment,,No,"Our approach to tackling the issues of sexual harassment within transportation in Egypt was to
empower a community of women to both drive together and gain the necessary skills to repair their own
car. My project transformed the way I think about the world because I was able to see how strongly
the women were excited to learn about car repair. While this deeply inspired me, it also made me think
more about ways in which women are given less opportunities than men in terms of their own mobility
and ways to build their own sense of agency. This project showed to me that peace is about bringing
people together to accomplish something new and providing opportunities to people that wouldn’t have
otherwise been possible."
2224,Empowering Futures – From the Basketball Court to the Workforce ,Bowdoin College,Victor Souza,Rio de Janeiro,"-22.906420,-43.182230",Youth Development,,Sports & Play,,,"The goal of this project was to teach low-income young Brazilian athletes (ages 16–21) how to secure
employment by equipping them with the tools and knowledge needed to navigate the job market by
developing the skills and confidence to acquire an internship or part-time job.I observed that for many of the young athletes involved, individuals who had spent years dedicated to
training and competition, often with little preparation for life beyond sports, this experience was
especially transformative. The event helped bridge the gap between athletic and professional careers
by demonstrating how the discipline, resilience, teamwork, and goal-setting developed through sports
are highly transferable to the workforce. Participants learned how to articulate these strengths as
valuable assets, enhancing their confidence in job interviews, workplace settings, and academic
environments.
As they begin to access more stable income sources and long-term opportunities, these
individuals are also better able to support their families and contribute to their communities, helping
to break long-standing cycles of economic vulnerability."
2274,Empowering Kenyan Women Entrepreneurs for Global Impact,International House,Judith Nguli,Kenya,"1.000000,38.000000",Economic Development & Entrepreneurship,,Skills Development,,No,"Our project addressed youth women’s economic exclusion in Nairobi by combining enterprise training, financial inclusion, and mental well‐being support for young women aiming to become entrepreneurs. We worked alongside local partners and supporters to strengthen business skills and community engagement. Our approach was immersive and innovative; therefore, we blended hands‐on workshops, bank‐led financial literacy + know your customer support, market‐readiness activities, and a mental health/self‐esteem module.  A recurring tension surfaced between formal banking requirements and familiar cash/mobile‐money routines. We addressed this by co‐teaching with bank staff, translating fee schedules into plain language, offering low‐fee product options, and running on‐site verification to remove friction. We also encountered gendered expectations voiced by some male instructors, reflecting broader social norms around women’s “appropriate” roles in the household and marketplace. In informal conversations, we heard doubts about “investing in women who will soon marry” and concerns that
confident, economically active women might intimidate men. Such views can dampen aspirations and subtly gatekeep access to opportunity. We addressed this through dialogue-based facilitation, ground rules that center respect and voice, and myth-versus-fact exercises on gender and enterprise. We also used Chimamanda Ngozi Adichie’s TED Talk “We Should All Be Feminists” as an anchor for small-group reflection on equity, shared prosperity, and why feminism affirms equal dignity and choice, not opposition to men. While shifts were gradual, we observed more supportive classroom behaviors and stronger peer advocacy by the end of the program.
We were challenged to listen first and adapt fast, accepting that success can look different than on paper. The most inspiring moments were the business plan presentations and pitches, as well as the graduation day, when voices that began quietly closed with conviction. We leave with deeper respect for co‐design with local institutions and for the power of
transparent, user‐centered financial inclusion."
,,,Ximena Valenzuela,,,,,,,,
2286,Empowering Langa’s Youth: Advancing Sexual Health Education and Community Resources,Johns Hopkins University,Arushi Sharma,Langa Township,"56.390260,9.894860",Health & Wellbeing,,Outreach & Information Campaigns,Equipment & Materials,Yes,"Working alongside the community health
workers (CHWs), we saw how peace emerges from compassion, solidarity, and collective action. that The
teamwork of the CHWS, their intrinsic passion for serving their community, and their unwavering
commitment showed us that peace is built through an appreciation of our shared humanity and that
meaningful progress happens when we work together
.
Our project has contributed to peace by strengthening the capacity of Kheth’Impilo in Langa and through
promoting sexual health education. In the short-term, there is increased access to sexual health
resources and services for youth in Langa, such as pregnancy testing and access to contraception at the
KI Wellness Hub. Our project also placed a heavy emphasis on education and awareness around all
topics related to sexual health including STIs, sexual hygiene, reproductive anatomy, contraception, and
consent. In the long-term, we hope this project helps shift the cultural narrative around sexual health, and
promotes more dialogue to ensure youth are educated and able to make informed decisions. We"
,,,Will Taggart,,,,,,,,
2294,Empowering Timorese Youth through Enhanced Education: Building a Future of Change and Progress,Luther College,Jose Eliano Da Silva,Dili,"-8.558610,125.573610",Youth development,Governance & Civic Engagement,Educational Enrichment,,Yes,"Our project was designed with a clear focus on peacebuilding, grounded in the belief that enhanced education is essential for empowering youth to become effective leaders and active volunteers. The program emphasized two complementary pillars: leadership and volunteerism, both of which serve as pathways to fostering a peaceful and inclusive society.

The initiative brought together 40 secondary school students from eight high schools across six municipalities of Timor-Leste. The participants engaged for one week in workshops, discussions, and interactive activities designed to equip them with knowledge and practical skills to address challenges such as gender equality, civic engagement, mental health awareness, social inclusion, and education access. These topics were carefully chosen to be relevant and current, ensuring participants understood the realities of their communities and were prepared to lead before engaging in volunteerism or community-based initiatives.

Leadership was emphasized as a core pathway to peace. Participants learned to communicate effectively, think critically, and collaborate across differences. Sessions on public speaking, conflict resolution, and civic engagement provided practical tools for students to act as responsible leaders within their schools and communities. By combining theoretical knowledge with interactive exercises, students gained confidence and a clearer understanding of how leadership can promote harmony, inclusivity, and problem-solving at both local and municipal levels.

Volunteerism was introduced as the practical application of leadership. Activities and discussions highlighted the importance of service to others and the impact of youth-led initiatives in fostering community cohesion. Participants explored how acts of service, ranging from environmental clean-ups to awareness campaigns, can build unity, empathy, and a culture of peace. Through these experiences, students realized that volunteering is not only a responsibility but also a powerful tool for creating positive change.

A central component of the camp was enabling participants to design their own project initiatives for implementation in their schools and communities. Working in small groups, students identified challenges relevant to their local context and created action plans to address them.
"
,,,Kim Anh Thy Nguyen,,,,,,,,
2341,Empowering Young Peruvian Women Through Financial Literacy Workshops: A Path to Peace and Prosperity,Wartburg College,Milagros Toribio,Concepcion,"-36.826990,-73.049770",Economic Development & Entrepreneurship,,Educational Enrichment,,Yes,"My vision of peace is a world where people from diverse backgrounds come together to create solutions
that promote justice and prosperity. In my view, peace is not merely the absence of conflict, it’s the
presence of opportunity. It’s the moment a young woman realizes she has the right and the ability to
make decisions about her life, future, and finances. Furthermore, peace is built when knowledge replaces
fear, and when access to tangible tools allows one to imagine a future rooted and solidified in dignity and
autonomy. The decision to focus on financial education came from conversations with friends, family members,
community peers, and youth in Concepción who shared and voiced concerns about not knowing how to
manage money, save, or plan for their future. Additionally, the lack of understanding of the official banking
system and its bureaucratic process has led many neighbors to turn to financial entities with less
bureaucracy but greater monetary risk. This has been the reality for many
women who, in search of a decent income, have fallen into scams and debts at an early age. In this
context and understanding the growing and latent challenges affecting my community, the idea of crafting
a contextualized financial education project for female high school students was born. The aim was to
provide practical, dynamic, and decentralized financial education including tools and resources that will
protect future generations from economic and social vulnerability. The project had two key components: a
theoretical one and a practical one. After recognizing that financial literacy is a powerful tool for
autonomy, we incorporated group dynamics, intergenerational mentorship, and visual materials to ensure
the learning experience was both accessible and meaningful."
2302,EmpowHER: Financial Education for a Safer Future,Mount Holyoke College,Alexandra Mihailopol,Bucharest,"44.432250,26.106260",Economic Development & Entrepreneurship,Youth development,Skills Development,Outreach & Information Campaigns,Yes,"I chose to address the issue of financial illiteracy in Romania because of my personal background
and direct experience with its consequences. Growing up in post-communist Romania, I witnessed how
the lack of financial education disproportionately affected rural communities and women, fostering cycles
of dependency, abuse, and vulnerability. I decided to focus on financial education as a peace-building tool
because I believe it empowers individuals with the knowledge to achieve independence, reduce
vulnerability to exploitation, and challenge systemic inequalities. My strategy was to partner with
FeminEast, an emerging NGO already trusted by local communities, to create a free online curriculum
and deliver in-person workshops to students between 14 and 35 years old. By targeting students, we are
able to instill the basics of financial education from an early age, equipping them with the tools to make
informed decisions, avoid cycles of dependency, and build a foundation for long-term independence and
community resilience. This blended approach allowed us to combine broad digital access with personal
community engagement. Our methodology was centered on participant feedback and culturally relevant
resources, ensuring the project directly met the needs of young women and minorities.  This project has reinforced my belief that education is one of the most powerful tools for social
change and community building. It challenged me to think about peace not in abstract terms, but in
practical, everyday actions like teaching someone how to manage their finances and have an emergency
savings account, which can ripple into greater autonomy, reduced violence, and stronger communities. It
inspired me to view leadership as a collaborative effort, where listening to local voices and building trust
are just as important as designing a curriculum. With the support of volunteers, experts, and students, we
were able to take the first step toward financial empowerment."
2273,Fostering Community in Hokkaido: Encouraging Reconciliation and Cross-cultural Communication Through Visual Novels.,International House,Olubunmi Adeloye,Hokkaido,"43.066670,141.350000",Social Cohesion,,Sports & Play,Technology Innovation & Tools,Yes,
2225,Fostering Interest in STEM Careers Through Access and Exposure ,Bowdoin College,Ruth Olujobi,Lagos,"6.454070,3.394670","Education Quality, Equity & Access",,Educational Enrichment,Equipment & Materials,Yes,"Without equal access to educational resources and support, there can be no peace. I believe
peace means creating opportunities for underserved students to flourish, learn, and grow.Rekora addressed the limited exposure to STEM resources that high school students in
underserved communities in Lagos, Nigeria, face. This issue often causes them to lose interest in
STEM subjects and career paths, even before they can try them out. Through school outreaches and
a full-day bootcamp, we introduced students to a variety of hands-on neuroscience experiments,
numerous STEM resources, and valuable career support to enable them to develop or nurture their
interests in STEM fields. Rekora has broadened my understanding of access creation and inspired me to keep building
systems that enable students to thrive, regardless of their background. However, it also reminded me
that there is a lot of work to be done. The 360+ students we engaged with are a fraction of the
hundreds of thousands of high school students in Lagos, and millions across Nigeria, who have
inadequate STEM resources. My experience this summer has opened a new pathway for me to
contribute to the educational system at home, and encouraged me to keep supporting the next
generation of students."
2352,"Fostering Peace through Education, Intercultural Exchange, and Sustainable Development in Tanzania",Johannes Gutenberg University Mainz,Greta Hafeneger,Mainz,"49.981850,8.280080",Social Cohesion,Youth development,Educational Enrichment,,Yes,"Our Project For Peace aimed at strengthening the relationship between Germany and Tanzania through
Intercultural Exchange, Education and Sustainability. For that, we worked with the German association
GoForTansania which connected us to the Brilliant Pre-Primary and Primary school in Ushirika,
Tanzania. The Tanzanian school is fully funded by GoForTansania in cooperation with the German High
School Gymnasium Mainz Oberstadt (GMO).
 For the first branch, we organized school lessons that provided political,
historic and sustainable information for German students at GMO. For that, we recruited experts from
these fields to provide professional insights into topics like the German-Tanzanian Political Relations,
the History of German Colonialism in Tanzania, and Contemporary Sustainability Issues in Tanzania.
The evaluation of the school lessons revealed great interest from German students in personal
contributions to strengthen the relationship between both countries and to get engaged in the
community to help make the lives of the students in Ushirika easier. Additionally, the exchange between
both schools was fostered by pictures, representing Tanzania, that were drawn by the Tanzanian
students and sent to Germany. To promote the association's visibility, we contributed to its marketing
by using the self-made pictures from Tanzania and created stickers with the association's brand logo.
To help raise funds for the association we funded cans which are spread all over the German school
property and will be used for students to throw out their plastic bottles. Germanys recycle system gives
25 cents for each recycled plastic bottle. This money will be used to continue sustainable funding of the
Tanzanian school. The second branch was addressed by organizing material for the Tanzanian students. One of the achievements was the organization and funding of sewing machines which the
students will learn to use at school. Moreover, we wanted to put emphasis on the needs of the school
in Tanzania. Therefore, we contributed to infrastructural advancements within the housing situation of
the students and future volunteers. Beds as well as mattresses were organized. Moreover, a guestroom
for volunteers was created. For the last branch, Sustainability, we managed to organize solar panels for
the school in Tanzania. This will allow the school to produce their own electricity, which will lower costs
for electricity in the long run."
2238,From Desperation to Dignity: Empowering Children with Clean and Hygienic Spaces,College of Idaho,Ronish Acharya,Kachankawal,"26.431521,88.033213",Health & Wellbeing,"Education Quality, Equity & Access",Infrastructure,,Yes,"For me, peace is not only the absence of conflict but the presence of dignity, safety, and access to
necessities. With my project I was able to provide the students of Basanta Primary School’s with hygienic
washrooms and clean water, which would result in a safer learning environment for them. This small step
is important to restore dignity and create opportunities for growth as most of the students belong to a
marginalized community. In the short term, the facilities are expected to improve attendance, reduce the
bad odors around the school, build dignity among the students and raise awareness of hygiene. In the long
term, the project would support the commitment towards SDG 6 for Nepal, protect the environment and
provide basic sanitation facilities to generations of students to study at the Basanta Primary School. “If we look around the world, there are countless opportunities to make a difference in people’s lives, but it
is also a fact that everyone’s problem cannot be solved. Too often, we forget how privileged we are,
because the things we consider ‘normal’ such as clean water, a safe bathroom and dignity are luxuries for
many. Across the globe, there are people who wake up every day wishing for the simple comforts we take
for granted. The Peace Grant allowed me to build a washroom that is far more than just a physical structure
and is a testament of dignity, a step towards equality, and a symbol of peace that will serve generations of
students at Basanta Primary School.”
— Ronish Acharya, The College of Idaho"
2314,From Margins to Center:  Education as a Tool for Roma Youth Empowerment,Sarah Lawrence College,Teona Conevska,Skopje,"41.996460,21.431410",Youth development,,Educational Enrichment,,Yes,"“From Margins to Center” promotes education as a powerful tool in combating systemic discrimination
against Roma youth in Skopje. Along with SUMNAL NGO, our team ensures that Roma children and
teenagers get academic support and encouragement, while also engaging in enjoyable summer activities
that promote inclusion, cultural immersion and respect as members of the broader Macedonian society. In terms of the strategies we implemented hand-in-hand with the NGO, our project mainly fostered
connections between Roma youth, educators, and the broader community by creating spaces for
dialogue, collaboration and enjoyment. Our weekly community meetings and feedback sessions
encouraged Roma children to actively engage in their education and share their ideas, challenges,
desires and spaces for improvement. We also collected and showcased their educational and creative
achievements and crafts. Our anticipated short-term outcome increased educational engagement among
the Roma community, with the long-term goal of creating a more inclusive and equitable community for
the Roma youth to grow and thrive in.
Overall our project involved ~45 children, including younger primary school children, who
benefited from tutoring sessions (especially sessions they didn’t have before such as computing lessons)
and various cultural trips. Our weekly schedule included a mix of foundational skill-building activities,
academic sessions, creative workshops integrating arts and science, and excursions to cultural and
educational sites like local museums, libraries and nature destinations. In this project, education served as a foundation for empowerment and breaking
cycles of poverty and barriers that persist for Roma communities in North Macedonia. We achieved short
term goals such as actively funding SUMNAL kids education and teaching them about how education
changed our lives. In the long term, we aim for people across the world to learn about SUMNAL through
the meaningful work we have done with them in the span of a month. But something they do every day.
This is what peace means to us: an initiative that is sustainable because of those who care and will care."
,,,Kat Legeza,,,,,,,,
,,,Yliane Cabrera Cano,,,,,,,,
2264,From Silence to Story,International House,Reshad Sharif,Afghanistan,"33.000000,65.000000",Youth development,,Skills Development,,Yes,"Personally, for me, peace is the freedom to express yourself, to break through the silence, and to be able to tell your story and be heard by the world.  As a man who managed to come to the U.S., I deeply felt for the girls left behind in Afghanistan and wanted to do something tangible to support them. Having worked in education and being a strong believer in the right to education regardless of gender, I designed the project to combine leadership and advocacy training with hands-on podcast creation, providing participants with the tools, confidence, and platform to reclaim their voices, share their stories, and advocate for education, empowerment, and peace. This project has changed how I used to see education and working with Afghan girls who faced extreme barriers showed me their resilience, curiosity, and hunger for learning. Many were amazed by technology and podcasting, eager to learn despite challenging timing and internet obstacles. Hearing their podcast stories was incredibly inspiring and their courage, creativity, and determination reinforced the power of storytelling and education to drive change and promote peace. This project not only amplified the voices of Afghan girls but also inspired me to deepen my work through my own nonprofit, continuing to contribute to education, empowerment, and the future of Afghan society.
“Silencing women will never lead to a prosperous and brighter Afghanistan; true progress lies in empowering them.”"
2243,FutureReady,Concordia College,Lauricenia Buque,Mozambique,"-18.250000,35.000000",Youth development,,Skills Development,,Yes,"The Future Ready project addressed the lack of career guidance among secondary school students in Chókwè, Mozambique—a gap that often leads to low motivation, disengagement from studies, and ultimately high dropout rates. Without clear direction, many young people face early marriage or pregnancy, or are forced to seek low-paying jobs under difficult conditions in neighboring countries. By partnering with local organizations, hosting workshops, and sharing resources, this initiative provided students with career counseling and entrepreneurship opportunities. During one of the workshops on dreams, the coach asked the students what they thought my dream was. A student answered: “Mana (big sister) Lau’s dream is that our dreams come true.” That moment felt like the climax of the project, when both the students and I realized that our dreams are connected in ways bigger than ourselves. Their response captured the true goal of the project—not just career guidance, but being part of a larger cycle where what they dream and accomplish can spark change for future generations."
2328,Gardens of Peace,University of Michigan,Clara Liao,Michigan,"42.732530,-84.555530",Ag & Food Security,,Technology Innovation & Tools,Equipment & Materials,No,"For our team, peace is about creating conditions where people can thrive, making sure basic needs are
met, reducing unnecessary burdens, and building systems that promote dignity and resilience. Our project
may have been small, but it was a step in that direction. By tackling something as practical as irrigation,
we aimed to make farming at Willow Run Acres more sustainable and to free up time and energy for
education and community connection."
,,,Marina Campoy-Lovasco,,,,,,,,
,,,Savin Dasanayaka,,,,,,,,
,,,Rachel Patyi,,,,,,,,
,,,Layla Ibrahim,,,,,,,,
2258,GeoPasture,Graduate Institute of International Studies/Geneva,Tiffanie Laborie-Bousquet,Lokichoggio,"4.207710,34.353780",Social Cohesion,Economic Development & Entrepreneurship,Skills Development,Dialogue,No,"The project addresses climate-induced, resource-driven conflicts affecting pastoralist communities in
Northern Laikipia, Kenya, by equipping Maasai herders with mobile solar power and a community-led digital
toolset for real-time livestock tracking, geofencing, and climate-aware grazing decisions, paired with training
and dialogue. We worked with IMPACT Kenya, leaders and members of Maiyanat Community Land, to install
the app, run FPIC-based workshops, and co-create a local monitoring group to facilitate feedback and
provide technical support. We focused on reducing
resource competition and associated violence by improving pastoralists’ access to actionable information
(pasture availability, movement patterns) and by creating a practical, shared process for dialogue and
decision-making.
The strategy combined: (1) a mobile app and GPS collars for geofencing/traceability; (2) hands-on digital
literacy sessions and dialogue; and (3) a community-run channel (WhatsApp + committee oversight) for peer
support and rapid feedback.  Peace is the capacity of communities to manage scarce resources fairly and access information easily, with
trusted channels for dialogue and problemsolving, so that disputes de-escalate into mediation and
cooperation instead of violence.

In the short-term, there was a high local uptake of the app, formal FPIC approval, successful installation on
all participating phones, hands-on training, and the creation of a community monitoring channel. Herders
immediately used geofencing and real-time views to plan grazing and to track high-value animals (e.g.,
camels and cows), increasing a sense of security and clear access to information. Long term, geofencing
and animal live-tracking data can reduce accidental encroachment, deter theft, and lower the frequency of
climate-induced resource-related confrontations. The Peace Hub will serve as a place of convening, training,
peer learning and co-managing tools.  The project made me understand that no matter how good an idea is, it will only create positive impact when
it receives community uptake.  Working towards peace and justice is to talk with the community, not for them."
2269,Ghana 3D: Bridging Tradition and Innovation in Assistive Devices,International House,Pouyan Jafarian,Ghana,"8.000000,-2.000000",Health & Wellbeing,,Technology Innovation & Tools,Skills Development,No,"To me, peace begins with empowerment through knowledge. In contexts where access to education and
technology is unequal, peace requires bridging divides and providing opportunities that can transform
both individual futures and community health outcomes. This project introduced digital fabrication methods for prosthetics and orthotics (assistive devices) to
clinicians and students in Ghana, combining theoretical and practical training. Through 30 online and in-
person sessions, participants were educated about 3D scanning, digital design, and 3D printing as
modern alternatives to traditional plaster-based workflows. A key challenge was adapting to the evolving political situation and travel restrictions. While initially
disappointing, it ultimately created a model for delivering high-quality remote workshops. I encountered
moments of frustration—such as unstable connectivity or varying attendance—but these were
opportunities to innovate with flexible scheduling, recorded materials, and ongoing support through
WhatsApp. Of the 90 participants, 72
responded: 87% rated the workshops “very helpful”. Comments highlighted that the training not only
improved their technical knowledge and potential to improve the standards of assistive devices in Ghana,
but also strengthened their confidence to pursue advanced studies in Europe, the UK, and the US."
2253,Grandma's Kitchen,Franklin & Marshall College,Marina Delastra Do Carmo,Jacarezinho,"-23.160560,-49.969440",Social Cohesion,,Infrastructure,,No,"Grandma's Kitchen in Parana, Brazil in a partnership with the CRAS community center worked to combat
isolation among elderly women. The project improved their physical, and mental well-being by offering a
space to cook together while fostering social reintegration and nutrition. While the project had a clear impact on the participants, it was even more interesting to see how it influenced others beyond the immediate group. For example, the local economy benefited
through partnerships with nearby businesses, a university expressed interest in helping expand the
project, and many students were inspired by the talks I gave about peace and becoming agents of
change. On a personal level, my own grandmother was affected as well, as she spent more time with me
and contributed ideas and recipes to the project.Peace is finding constants in the midst of chaos. One of the biggest lessons I learned from this project is that even if I can’t change someone’s entire life, I can still make part of it better.I was surprised how much I learned by listening and observing. The most effective social initiatives are often those small actions that often go by unnoticed."
2275,"Growing Peace: School Gardens for Learning, Climate and Nutrition in Kenya",International House,James Supeyo,Kiambu County,"-1.171390,36.835560",Ag & Food Security,Environment & Climate,Infrastructure,Skills Development,Yes,"The Growing Peace Project addressed student malnutrition and limited practical education resources at
Mugumo-ini Primary School in Kiambu County, Kenya, through the construction of a comprehensive
school garden system featuring eight raised beds, complete irrigation infrastructure, and curriculum
integration. Working directly with 1,500 students, teachers, and community members, the project
employed a participatory design-build methodology that engaged learners in every phase of
development from site preparation through final planting and maintenance protocols. A significant conflict we encountered involved balancing project timeline pressures with meaningful
student participation when external disruptions compressed our available working time. Rather than
excluding students to maintain efficiency, we chose to involve them in problem-solving discussions
about adapting to changed circumstances, which ultimately strengthened their ownership of the project
while teaching valuable lessons about resilience and flexibility. This experience highlighted the
importance of viewing obstacles as opportunities for deeper learning rather than impediments to
predetermined outcomes.This project fundamentally changed how we understand the relationship between education, nutrition,
and community development. We learned that schools can serve as powerful catalysts for broader
social transformation when they embrace participatory approaches that honor both local knowledge and
innovative solutions. The experience reinforced our belief that sustainable development must be driven
by communities themselves rather than imposed from outside, and that young people are capable of
remarkable leadership when given genuine responsibility and support."
,,,Esther Mburu,,,,,,,,
,,,Joshua Wachira,,,,,,,,
,,,Glory Wangui,,,,,,,,
